"effect","group","term","estimate","std.error","statistic","df","p.value"
"fixed",NA,"(Intercept)",43.60574170554,2.44929139986391,17.8034111041107,100.321209784008,8.07682786107139e-33
"fixed",NA,"Park_Size_",0.00919925434781475,0.00324915290973309,2.83127775250517,5986.35260729926,0.00465171061781102
"fixed",NA,"MONTHAug",-26.4625095158593,0.119259753338591,-221.889688474614,354891.883381181,0
"fixed",NA,"MONTHDec",1.09961470832242,0.0896483327449284,12.2658690312858,354885.379488433,1.40371539173784e-34
"fixed",NA,"MONTHFeb",-3.71742301439057,0.0936752616164815,-39.684148730859,354892.815939121,0
"fixed",NA,"MONTHJan",2.33470217976556,0.0841301228341134,27.7510848803715,354884.944201923,2.56882223468964e-169
"fixed",NA,"MONTHJul",-36.118943579349,0.13703692488425,-263.570885072454,354879.679736966,0
"fixed",NA,"MONTHJun",-33.4908795402453,0.137340729787848,-243.852494390987,354882.743070415,0
"fixed",NA,"MONTHMar",-1.28046856846178,0.0916690550020533,-13.9683840793722,354905.587303962,2.49752355072999e-44
"fixed",NA,"MONTHMay",-16.1377307218553,0.103973970586964,-155.209333939572,354879.241797475,0
"fixed",NA,"MONTHNov",-0.36368150772577,0.0920479131347433,-3.95100220461705,354885.891288414,7.78396440451263e-05
"fixed",NA,"MONTHOct",20.1695677974314,0.0815227101498568,247.410418033886,354886.020186003,0
"fixed",NA,"MONTHSep",5.961870251684,0.090311878866774,66.0142422734756,354880.982544542,0
"ran_pars","Park_Addre","sd__(Intercept)",23.5750958504222,NA,NA,NA,NA
"ran_pars","Residual","sd__Observation",11.8729342678955,NA,NA,NA,NA
