"effect","component","term","estimate","std.error","statistic","p.value"
"fixed","cond","(Intercept)",1.31036933396981,0.106911275873808,12.2566055194823,1.5485173998682e-34
"fixed","cond","log1p(nearest_dist_m)",-0.0308355190034141,0.00744190600752141,-4.1434975088706,3.42048788234884e-05
"fixed","cond","Season.L",0.161542389789329,0.206304151596319,0.783030242190294,0.43360935308565
"fixed","cond","Season.Q",-0.193139863896373,0.207344362790755,-0.931493199510241,0.35159850072478
"fixed","cond","Season.C",0.0399700128487277,0.208545339148373,0.191661022068157,0.848007739766225
"fixed","cond","analysismigratory",1.12407880781574,0.129715672911654,8.66571311379869,4.48695526363557e-18
"fixed","cond","analysistotal",1.33558002523269,0.124524460371739,10.7254431879939,7.73155395037482e-27
"fixed","cond","ghmi_mean",0.548647082541403,0.139509097221045,3.9326975334956,8.39979038968682e-05
"fixed","cond","dominant_class",-0.0057767315476992,0.00664290686488266,-0.869608992749478,0.384514121657964
"fixed","cond","log10(number_of_checklists)",0.775702724620332,0.0135465000671134,57.2622242481284,0
"fixed","cond","log1p(nearest_dist_m):Season.L",-0.00404572077617106,0.01449461572678,-0.279118870926413,0.780153601513125
"fixed","cond","log1p(nearest_dist_m):Season.Q",-0.0153829087265756,0.0147343838843055,-1.04401438481326,0.296478734381005
"fixed","cond","log1p(nearest_dist_m):Season.C",-0.010276755797775,0.0149668445950242,-0.686634763428461,0.49231291608097
"fixed","cond","log1p(nearest_dist_m):analysismigratory",0.0263075072113686,0.00934260053456284,2.81586557340692,0.00486460165235737
"fixed","cond","log1p(nearest_dist_m):analysistotal",0.0199177884570323,0.00893420837114665,2.22938481280082,0.0257883118517572
"fixed","cond","Season.L:analysismigratory",-0.0278455916236216,0.253777125448746,-0.109724592294846,0.91262779634195
"fixed","cond","Season.Q:analysismigratory",0.276093447373849,0.259402012858522,1.06434581725637,0.287172069418869
"fixed","cond","Season.C:analysismigratory",0.140721242280713,0.264913669072847,0.531196607457872,0.595282543653476
"fixed","cond","Season.L:analysistotal",0.00806680207499551,0.245682812504075,0.032834214134787,0.973806793980082
"fixed","cond","Season.Q:analysistotal",0.216843411333718,0.249016447385959,0.87079955404562,0.383863608811323
"fixed","cond","Season.C:analysistotal",0.0995116593957706,0.252310759481084,0.394401172587453,0.693284878207535
"fixed","cond","Season.L:ghmi_mean",-0.187394282430853,0.276549916687357,-0.677614676856708,0.498016037826224
"fixed","cond","Season.Q:ghmi_mean",0.288009902237283,0.278678927843745,1.0334828846434,0.301377976049551
"fixed","cond","Season.C:ghmi_mean",-0.0292496468821354,0.280929693977691,-0.104117320130844,0.917076246083667
"fixed","cond","analysismigratory:ghmi_mean",-0.647443394504177,0.174542763701794,-3.70936829905096,0.000207777002263552
"fixed","cond","analysistotal:ghmi_mean",-0.423746883591653,0.167357481871432,-2.5319864929444,0.0113418360150785
"fixed","cond","Season.L:dominant_class",-0.0012415018873006,0.0131004009417834,-0.0947682359355022,0.924498917339478
"fixed","cond","Season.Q:dominant_class",-0.00337020249091842,0.0132712446096326,-0.253947733618913,0.799535937131474
