"effect","component","term","estimate","std.error","statistic","p.value"
"fixed","cond","(Intercept)",0.0318769724854236,0.358449145448456,0.0889302510277778,0.929137341948807
"fixed","cond","log1p(nearest_dist_m)",0.147042590534471,0.0232609001968735,6.32144883860663,2.59122171367703e-10
"fixed","cond","Season.L",-6.63293428386722e-05,0.656755122291553,-0.00010099554702708,0.999919417212454
"fixed","cond","Season.Q",0.00160396288647194,0.636100265254011,0.00252155670117734,0.997988090970978
"fixed","cond","Season.C",0.00175926571248603,0.619889480981708,0.00283803124018157,0.997735581730146
"fixed","cond","analysismigratory",0.0110758639210076,0.42326773690484,0.0261675127946208,0.979123728039056
"fixed","cond","analysistotal",0.0136075114420495,0.463368776820727,0.0293664832909406,0.976572303728633
"fixed","cond","ghmi_mean",0.0263383780437782,0.465828420008631,0.0565409427859515,0.954910880047669
"fixed","cond","dominant_class",0.122816926011807,0.0198271613039589,6.19437770888989,5.85157520733682e-10
"fixed","cond","Shape_Area",3.43498193636989e-06,NA,NA,NA
"fixed","cond","log10(number_of_checklists)",0.0624973326382483,0.0510702187826953,1.22375298418391,0.221045425337177
"fixed","cond","log1p(nearest_dist_m):Season.L",-0.000861796323903935,0.0467097689312646,-0.0184500232739773,0.985279846419598
"fixed","cond","log1p(nearest_dist_m):Season.Q",0.00650078687277436,0.0459559478724854,0.141456920675691,0.887508990085138
"fixed","cond","log1p(nearest_dist_m):Season.C",0.00678006481283102,0.0451563596541212,0.150146399416682,0.880649113440261
"fixed","cond","log1p(nearest_dist_m):analysismigratory",0.0518811272150673,0.0302510853920294,1.71501704956137,0.0863421010796842
"fixed","cond","log1p(nearest_dist_m):analysistotal",0.0615903616990509,0.0293989349632032,2.09498615429912,0.0361722233062632
"fixed","cond","Season.L:analysismigratory",0.000118165799889387,NA,NA,NA
"fixed","cond","Season.Q:analysismigratory",0.000706702288570248,0.964112955971221,0.000733007770711198,0.999415144469175
"fixed","cond","Season.C:analysismigratory",0.000773323279815726,0.714784374175888,0.00108189729344228,0.99913677102159
"fixed","cond","Season.L:analysistotal",-0.000293728228001811,0.924831629311125,-0.000317601840910868,0.999746590398915
"fixed","cond","Season.Q:analysistotal",0.000693627211510413,0.988990374700633,0.00070134879899147,0.999440404667424
"fixed","cond","Season.C:analysistotal",0.000771130657200215,0.994313094778324,0.000775541085850965,0.999381207803361
"fixed","cond","Season.L:ghmi_mean",5.13563484710458e-06,0.929751652107079,5.52366305073596e-06,0.999995592754533
"fixed","cond","Season.Q:ghmi_mean",0.00134030453340234,0.903182011234306,0.0014839805451513,0.998815955269076
"fixed","cond","Season.C:ghmi_mean",0.00148409276815679,0.876221257200137,0.00169374202687006,0.998648590032923
"fixed","cond","analysismigratory:ghmi_mean",0.00909949015880283,0.598770399407303,0.0151969605842407,0.987875046485342
"fixed","cond","analysistotal:ghmi_mean",0.0112571623234931,0.608014073009581,0.0185146410637697,0.985228297687966
