SCIENTIFIC.NAME,COMMON.NAME,migration_status,Status_Origin
Accipiter striatus,Sharp-shinned Hawk,migratory,AVONET
Acridotheres tristis,Common Myna,migratory,AVONET
Actitis macularius,Spotted Sandpiper,migratory,AVONET
Agelaius phoeniceus,Red-winged Blackbird,migratory,AVONET
Alca torda,Razorbill,migratory,AVONET
Alopochen aegyptiaca,Egyptian Goose,migratory,AVONET
Ammodramus savannarum,Grasshopper Sparrow,migratory,AVONET
Anarhynchus wilsonia,Wilsons Plover,migratory,All About Birds
Anas acuta,Northern Pintail,migratory,AVONET
Anas bahamensis,White-cheeked Pintail,migratory,AVONET
Anas crecca,Green-winged Teal,migratory,AVONET
Anas fulvigula,Mottled Duck,migratory,AVONET
Anas platyrhynchos,Mallard,migratory,AVONET
Anous stolidus,Brown Noddy,migratory,AVONET
Anser anser,Graylag Goose,migratory,AVONET
Anthus rubescens,American Pipit,migratory,AVONET
Antigone canadensis,Sandhill Crane,migratory,AVONET
Antrostomus carolinensis,Chuck-wills-widow,migratory,AVONET
Antrostomus vociferus,Eastern Whip-poor-will,migratory,AVONET
Archilochus colubris,Ruby-throated Hummingbird,migratory,AVONET
Ardea alba,Great Egret,migratory,AVONET
Ardea herodias,Great Blue Heron,migratory,AVONET
Ardenna gravis,Great Shearwater,migratory,AVONET
Arenaria interpres,Ruddy Turnstone,migratory,AVONET
Astur cooperii,Coopers Hawk,migratory,All About Birds
Aythya affinis,Lesser Scaup,migratory,AVONET
Aythya americana,Redhead,migratory,AVONET
Aythya collaris,Ring-necked Duck,migratory,AVONET
Aythya marila,Greater Scaup,migratory,AVONET
Aythya valisineria,Canvasback,migratory,AVONET
Bombycilla cedrorum,Cedar Waxwing,migratory,AVONET
Botaurus exilis,Least Bittern,migratory,All About Birds
Botaurus lentiginosus,American Bittern,migratory,AVONET
Branta canadensis,Canada Goose,migratory,AVONET
Branta leucopsis,Barnacle Goose,migratory,AVONET
Bucephala albeola,Bufflehead,migratory,AVONET
Buteo jamaicensis,Red-tailed Hawk,migratory,AVONET
Buteo lineatus,Red-shouldered Hawk,migratory,AVONET
Buteo platypterus,Broad-winged Hawk,migratory,AVONET
Buteo swainsoni,Swainsons Hawk,migratory,AVONET
Calidris alba,Sanderling,migratory,AVONET
Calidris alpina,Dunlin,migratory,AVONET
Calidris canutus,Red Knot,migratory,AVONET
Calidris fuscicollis,White-rumped Sandpiper,migratory,AVONET
Calidris himantopus,Stilt Sandpiper,migratory,AVONET
Calidris mauri,Western Sandpiper,migratory,AVONET
Calidris melanotos,Pectoral Sandpiper,migratory,AVONET
Calidris minutilla,Least Sandpiper,migratory,AVONET
Calidris pusilla,Semipalmated Sandpiper,migratory,AVONET
Calonectris borealis,Corys Shearwater,migratory,AVONET
Cardellina canadensis,Canada Warbler,migratory,AVONET
Cardellina pusilla,Wilsons Warbler,migratory,AVONET
Cathartes aura,Turkey Vulture,migratory,AVONET
Catharus fuscescens,Veery,migratory,AVONET
Catharus guttatus,Hermit Thrush,migratory,AVONET
Catharus minimus,Gray-cheeked Thrush,migratory,AVONET
Catharus ustulatus,Swainsons Thrush,migratory,AVONET
Chaetura pelagica,Chimney Swift,migratory,AVONET
Charadrius melodus,Piping Plover,migratory,AVONET
Charadrius semipalmatus,Semipalmated Plover,migratory,AVONET
Charadrius vociferus,Killdeer,migratory,AVONET
Chlidonias niger,Black Tern,migratory,AVONET
Chondestes grammacus,Lark Sparrow,migratory,AVONET
Chordeiles acutipennis,Lesser Nighthawk,migratory,AVONET
Chordeiles gundlachii,Antillean Nighthawk,migratory,AVONET
Chordeiles minor,Common Nighthawk,migratory,AVONET
